項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
18,謝○○,營造業(建物完工裝修工程業),墜落、滾落,1,大維國際建設有限公司,大維國際建設有限公司住宅新建工程,自距機坑底高約12.8公尺之4樓電梯井開口處墜落,臺南市安平區,勞動部職業安全衛生署南區職業安全衛生中心,109/12/07,
19,宗鋒工程企業有限公司,營造業(機電、電信及電路設備安裝業),被夾、被捲,1,無,無,宜蘭縣五結鄉中興路二段15巷49號砂土堆置處理場,宜蘭縣五結鄉中興路二段15巷49號,勞動部職業安全衛生署北區職業安全衛生中心,109/12/02,
20,順富瓦斯工程有限公司,營造業(冷凍、空調及管道工程業),墜落、滾落,1,台灣中油股份有限公司天然氣事業部北區營業處,苗供造橋江姓地主陳情12吋遷管工程,管溝,-,勞動部職業安全衛生署中區職業安全衛生中心,109/11/30,
21,屋頂達人工程有限公司,營造業(建物完工裝修工程業),墜落、滾落,1,僑大聯合廣場商辦大樓管理委員會,僑大聯合廣場商辦大樓外牆磁磚剝落及防水工程,大樓南面1樓車道旁雨遮下方,中山區民權東路3段58號,臺北市勞動檢查處,109/11/30,
22,-,批發及零售業(金屬建材批發業),墜落、滾落,1,宣聚股份有限公司,建新國際物流區1~5號倉屋頂翻修工程,-,-,臺中市勞動檢查處,109/11/26,
23,全來工程有限公司,製造業(其他金屬加工處理業),物體倒塌、崩塌,1,,,中鋼鋁業股份有限公司軋鋁一廠,高雄市小港區東林路17號,高雄市政府勞工局勞動檢查處,109/11/26,
24,中龍鋼鐵股份有限公司,製造業(鋼鐵冶鍊業),跌倒,1,-,-,廠區內,-,臺中市勞動檢查處,109/11/25,
25,申武工程有限公司,製造業(船舶及浮動設施製造業),爆炸,1,-,1113系列船(船上)管鐵電艤品安裝電銲工作,台灣國際造船股份有限公司HNO.1119船船艙艏?間,高雄市小港區中鋼路3號,高雄市政府勞工局勞動檢查處,109/11/25,
26,輝龍園藝有限公司,支援服務業(綠化服務業),墜落、滾落,1,桃園市八德區公所,,桃園市八德區瑞安公園旁,-,桃園市政府勞動檢查處,109/11/24,
27,金永豐股份有限公司,製造業(石材製品製造業),墜落、滾落,1,,,金永豐股份有限公司廠內堆土區,-,勞動部職業安全衛生署中區職業安全衛生中心,109/11/23,
28,南亞塑膠工業股份有限公司新港廠,製造業(塑膠原料製造業),被夾、被捲,1,,,裁剪作業區被夾,-,勞動部職業安全衛生署南區職業安全衛生中心,109/11/23,
29,和慶企業行,礦業及土石採取業(砂、石採取及其他礦業),感電,1,,,震篩機,屏東縣里港鄉中和村中和路14之17號,勞動部職業安全衛生署南區職業安全衛生中心,109/11/19,
30,石oo,營造業(其他專門營造業),墜落、滾落,1,林oo,自然人林oo「住宅四樓鐵皮屋頂修繕工程」,宜蘭縣宜蘭市西後街林oo住宅四樓鐵皮屋頂,-,勞動部職業安全衛生署北區職業安全衛生中心,109/11/18,
31,曹○○,其他服務業(家事服務業),感電,1,,,景觀池,新北市坪林區黃舉皮寮16號,新北市政府勞動檢查處,109/11/17,
32,伍冠興業有限公司,製造業(金屬建築組件製造業),物體飛落,1,,,B6固定式起重機,桃園市觀音區保障二路645號,桃園市政府勞動檢查處,109/11/17,
33,松銘營造股份有限公司,營造業(建築工程業),墜落、滾落,1,溪福建設股份有限公司,淡水區新市段新建工程,地上8樓電梯井墜落至地下3樓,新北市淡水區新市二路4段230巷口,新北市政府勞動檢查處,109/11/12,
34,齊裕營造股份有限公司,營造業(建築工程業),墜落、滾落,1,興富發建設股份有限公司,台中市惠安243+244-1地號新建工程,自相對高差約10.5公尺之3樓施工架工作臺墜落至地面,臺中市西屯區台灣大道三段與環中路三段口工地,勞動部職業安全衛生署中區職業安全衛生中心,109/11/09,
35,-,製造業(產業用機械設備維修及安裝業),墜落、滾落,1,中華郵政股份有限公司臺中郵局,臺中郵件處理中心籃框輸送系統拆除及樓地板復原工程,-,-,臺中市勞動檢查處,109/11/09,
36,-,營造業(其他專門營造業),感電,1,臺中市停車管理處,臺中市豐原區豐原轉運中心新建工程,-,-,臺中市勞動檢查處,109/11/09,
37,海神全球股份有限公司,製造業(石油及煤製品製造業),與有害物等之接觸,1,無,無,海神公司製造區熱裂解設備1號冷凝塔下方,大園區民族街6號,桃園市政府勞動檢查處,109/11/06,
38,允強營造有限公司,營造業(其他專門營造業),物體倒塌、崩塌,1,同聲企業股份有限公司,同聲公司用戶污水排放預留管工程,屏南工業區內R1道路0K+112處。,-,勞動部職業安全衛生署南區職業安全衛生中心,109/11/05,
39,奇架企業股份有限公司永康二廠,製造業(塑膠膜袋製造業),感電,1,,,,臺南市永康區富強路一段2巷199號,勞動部職業安全衛生署南區職業安全衛生中心,109/11/04,
40,國城營造有限公司,營造業(建築工程業),物體飛落,1,築禾建設股份有限公司,築禾建設大仁段768地號等9筆店舖及集合住宅新建工程,A棟1F旁,新北市三重區中正北路25巷口,勞動部職業安全衛生署北區職業安全衛生中心,109/11/03,
41,?泰鋼鐵股份有限公司,製造業(金屬建築組件製造業),物體飛落,1,淞譽企業有限公司,鋼結構及浪板工程,空廠房1樓,桃園市楊梅區楊湖路1段425巷156號,桃園市政府勞動檢查處,109/11/03,
42,-,運輸及倉儲業(汽車貨運業),物體飛落,1,金昇國際開發股份有限公司,天然氣設備裝置工程,-,-,臺中市勞動檢查處,109/11/02,
43,寶橋建設有限公司,不動產業(不動產開發業),墜落、滾落,1,,105林123新建工程(大觀天下)之燈具工程,自1樓B7店鋪前移動式施工架墜落,新北市林口區文化三路1段249巷,勞動部職業安全衛生署北區職業安全衛生中心,109/11/01,
44,昱慶工程有限公司,營造業(建築工程業),墜落、滾落,1,泰安電機廠股份有限公司,仁武區廠房改善工程,高雄市仁武區鳳仁路277號之1,高雄市仁武區鳳仁路277號之1,高雄市政府勞工局勞動檢查處,109/10/31,
45,有馳股份有限公司善化廠所僱越南籍移工鄧OO發生墜落災害致死重大職業災害,製造業(鋼鐵軋延及擠型業),墜落、滾落,1,,,屋頂,-,勞動部職業安全衛生署南區職業安全衛生中心,109/10/30,
46,慶龍堆高機企業社,製造業(產業用機械設備維修及安裝業),物體飛落,1,慶龍堆高機企業社,,臺南市新營區忠孝路2之1號大門口外馬路旁,-,臺南市職安健康處,109/10/28,
47,齊裕營造股份有限公司,營造業(建築工程業),墜落、滾落,1,興富發建設股份有限公司,台中烏日區新高鐵段89、90、96地號新建工程,D棟2樓管道間,臺中市烏日區高鐵路二段與高鐵一路口,勞動部職業安全衛生署中區職業安全衛生中心,109/10/27,
48,陳○○,運輸及倉儲業(其他陸上運輸輔助業),墜落、滾落,1,尚洪貿易有限公司,承攬尚洪貿易有限公司「拆櫃及卸貨作業」之事業單位陳○○所僱勞工吳○○發生墜落災害致死,桃園市龜山區大坑路3段33巷1號﹝尚洪貿易公司倉庫前廣場﹞,桃園市龜山區大坑路3段33巷1號,桃園市政府勞動檢查處,109/10/27,
49,賴OO(即OO實業社),製造業(產業用機械設備維修及安裝業),爆炸,1,-,-,倉庫,彰化縣芬園鄉嘉東街269巷2號,勞動部職業安全衛生署中區職業安全衛生中心,109/10/26,
50,江○○,營造業(其他專門營造業),被撞,1,臺中市后里區公所,109年度后里區公共設施改善工程第二期,臺中市后里區三豐路4段與后科南路交叉口東側人行道旁,-,臺中市勞動檢查處,109/10/26,
51,-,營造業(其他專門營造業),被撞,1,臺中市后里區公所,109年度后里區公共設施改善工程第二期(開口契約),臺中市后里區三豐路4段與后科南路交叉口東側人行道旁,-,臺中市勞動檢查處,109/10/26,
52,吳○○,營造業(整地、基礎及結構工程業),墜落、滾落,1,林○○,臺南市安南區城西街一段61巷193號民宅整修工程,臺南市安南區本工程4樓後側增建鐵皮屋處。,臺南市安南區城西街一段61巷193號,勞動部職業安全衛生署南區職業安全衛生中心,109/10/24,
53,召明營造工程股份有限公司,營造業(建築工程業),墜落、滾落,1,朝陽科技大學,航空大樓新建工程,東側3樓頂板樑模上,臺中市霧峰區鄉吉峰東路168號,勞動部職業安全衛生署中區職業安全衛生中心,109/10/23,
54,海明工程行,營造業(其他土木工程業),溺斃,1,臺北市政府工務局新建工程處,中正橋改建工程及代辦管線附掛工程,施工便橋第一橋墩（臺北市端）（緯度25.021398N、經度121.516134E）,施工便橋第一橋墩（臺北市端）（緯度25.021398N、經度121.516134E）,臺北市勞動檢查處,109/10/22,
55,南投縣名間鄉公所,公共行政及國防；強制性社會安全(政府機關),墜落、滾落,1,-,-,南投縣名間鄉太平巷(路燈116012處),-,勞動部職業安全衛生署中區職業安全衛生中心,109/10/21,
56,佰?鋼鐵有限公司,製造業(其他金屬加工處理業),被夾、被捲,1,,,鋼筋裁剪作業區,-,勞動部職業安全衛生署北區職業安全衛生中心,109/10/20,
57,美福營造有限公司,營造業(建築工程業),墜落、滾落,1,東汯建設有限公司,東汯建設中義段住宅新建工程,本工程M戶4樓,新竹縣湖口鄉中正二路與達生八街,勞動部職業安全衛生署北區職業安全衛生中心,109/10/12,
58,壹山營造工程股份有限公司,營造業(建築工程業),被撞,1,臺灣港務股份有限公司高雄港務分公司,高雄港第七貨櫃中心計畫-S4~S5櫃場設施工程,高雄市小港區南星路「高雄港第七貨櫃中心計畫-S4~S5櫃場設施工程」,高雄市小港區南星路,高雄市政府勞工局勞動檢查處,109/10/12,交通部
59,許○○（自然人）,營造業(建築工程業),墜落、滾落,1,楊○○,楊○○倉庫新建工程,臺東縣臺東市興隆路本工程倉庫西面桁架處,臺東市興隆路,勞動部職業安全衛生署南區職業安全衛生中心,109/10/10,
60,朱○○(即○○企業社),營造業(整地、基礎及結構工程業),墜落、滾落,1,,屋突牆面切割(拆除)作業,○○股份有限公司大樓H棟屋突,-,勞動部職業安全衛生署北區職業安全衛生中心,109/10/08,
61,王工南營造有限公司,營造業(建築工程業),墜落、滾落,1,安家道生股份有限公司,（107建159）大安區辛亥段四小段0017之0001地號新建工程,7樓外牆施工架斜籬墜落,大安區樂業街72巷16號旁,臺北市勞動檢查處,109/10/07,
62,翔陽安裝工程有限公司,營造業(其他專門營造業),墜落、滾落,1,東元電機股份有限公司中壢廠,太陽能系統建置案工程,東元電機大馬達1及2廠中間道路上方鐵皮屋頂墜落,桃園市中壢區安東路11號,桃園市政府勞動檢查處,109/10/05,
63,大昇消防工程股份有限公司,營造業(機電、電信及電路設備安裝業),感電,1,觀雲總裁行館管理委員會,消防電力設備照明系統更新工作,-,-,臺中市勞動檢查處,109/10/05,
64,安捷能科技股份有限公司,批發及零售業(其他建材批發業),墜落、滾落,1,行政院環境保護署環境檢驗所,檢驗所環檢大樓外遮陽設施拆除及玻璃天幕防水工程,桃園市中壢區民族路3段260號,中壢區民族路3段260號,桃園市政府勞動檢查處,109/10/04,行政院環境保護署
65,宏盛紙業有限公司,製造業(紙漿製造業),被夾、被捲,1,,,造紙機第2層工作平台,-,勞動部職業安全衛生署北區職業安全衛生中心,109/09/30,
66,森城建設股份有限公司,營造業(建築工程業),墜落、滾落,1,大師開發股份有限公司,（106建040）玉成公園集合住宅新建工程,地下3樓電梯井口墜落,臺北市信義區中坡南路201巷,臺北市勞動檢查處,109/09/30,
67,東和衛生材料工業股份有限公司,製造業(其他紡織品製造業),其他,1,-,-,東和衛生材料工業股份有限公司,-,勞動部職業安全衛生署中區職業安全衛生中心,109/09/29,
68,宗龍機械股份有限公司,製造業(其他通用機械設備製造業),墜落、滾落,1,,,宗龍機械股份有限公司倉庫,桃園市蘆竹區海湖東路292巷36號,桃園市政府勞動檢查處,109/09/29,
69,六大營造股份有限公司,營造業(其他專門營造業),墜落、滾落,1,大睦建設股份有限公司,大睦青昇段集合住宅新建工程,工區2樓 (青昇二街側)露臺區結構體外牆施工架工作臺,桃園市中壢區領航南路四段67號旁,桃園市政府勞動檢查處,109/09/29,
70,永豐餘工業用紙股份有限公司新屋廠,支援服務業(其他行政支援服務業),墜落、滾落,1,永豐餘工業用紙股份有限公司新屋廠,新屋廠原料卸、備、送料作業,B14倉庫與B16倉庫之間道路旁活動碼頭,桃園市新屋區文化路2段1631號,桃園市政府勞動檢查處,109/09/28,
71,豐興鋼鐵股份有限公司,製造業(鋼鐵鑄造業),被夾、被捲,1,-,-,廠區內,-,臺中市勞動檢查處,109/09/28,
72,上弘開發建設有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,1,薩摩亞商順譽世界企業有限公司台灣分公司,Bonny大里廠整修工程,樓層鋼承板開口,臺中市大里區瓦?路50之1號,勞動部職業安全衛生署中區職業安全衛生中心,109/09/26,
73,齊陞營造股份有限公司,營造業(建築工程業),墜落、滾落,1,鉅陞建設股份有限公司,鉅陞建設板橋區江翠段49地號等4筆新建工程,地上11樓電梯井墜落至地下3樓,新北市板橋區華江五路與環河西路4段交叉口,新北市政府勞動檢查處,109/09/24,
74,泓德能源科技股份有限公司,營造業(機電、電信及電路設備安裝業),物體飛落,1,禾迅一號股份有限公司,禾迅一號台南學甲地面型太陽光電發電系統工程（第一期）,臺南市北門區本工程麗湖段121至413地號第22組列第2顆預鑄基礎處。,臺南市北門區本工程麗湖段121至413地號,勞動部職業安全衛生署南區職業安全衛生中心,109/09/22,
75,東生營造股份有限公司,營造業(其他土木工程業),墜落、滾落,1,維正建設股份有限公司,（108建045）維正建設立農段新建工程,連結第2層安全支撐圍苓至第3層安全支撐通道平臺之鋼樓梯,臺北市北投區立農街1段332號對面,臺北市勞動檢查處,109/09/22,
76,弘騏工程行,營造業(其他專門營造業),溺斃,1,台灣電力股份有限公司通霄發電廠,109年度海水設備檢修工作,台灣電力股份有限公司通霄發電廠(海水泵室進水池區4號進水池),苗栗縣通霄鎮海濱路1-31號,勞動部職業安全衛生署中區職業安全衛生中心,109/09/19,
77,煜承營造有限公司,營造業(其他土木工程業),感電,1,百鈴企業有限公司,龍潭區紅橋段廠房新建工程,桃園市龍潭區永昌路24巷9弄16號(結構體室內南側4樓至5樓屋突之樓梯間工作場所(含施工架)),桃園市龍潭區永昌路24巷9弄16號,桃園市政府勞動檢查處,109/09/19,
78,剛陽實業有限公司,製造業(鋼鐵冶鍊業),物體倒塌、崩塌,1,,-,廠區內,-,臺中市勞動檢查處,109/09/17,
79,萬機鋼?工業股份有限公司,製造業(金屬結構製造業),物體倒塌、崩塌,1,,,萬機鋼?工業股份有限公司廠內,高雄市燕巢區角宿里安新路360號,高雄市政府勞工局勞動檢查處,109/09/17,
80,高輝營造工程股份有限公司,營造業(公用事業設施工程業),與高溫、低溫之接觸,1,臺南市政府水利局,臺南市永康區中華路CF幹線新建工程(第二期),臺南市永康區中華路282-1號前,臺南市永康區中華路282-1號,勞動部職業安全衛生署南區職業安全衛生中心,109/09/16,
81,樺林離型紙股份有限公司,製造業(未分類其他紙製品製造業),被夾、被捲,1,,,離型塗佈機,-,勞動部職業安全衛生署中區職業安全衛生中心,109/09/15,
82,鼎盛國際工程有限公司,支援服務業(建築物一般清潔服務業),墜落、滾落,1,太子敦園大廈管理委員會,外牆磁磚檢測作業,使用繩索作業於11樓採光罩上墜落,臺北市松山區光復北路26巷5號,臺北市勞動檢查處,109/09/14,
83,台灣電力股份有限公司輸變電工程處南區施工處,電力及燃氣供應業(電力供應業),墜落、滾落,1,台灣電力股份有限公司,345kV興達~龍崎一、三路#4~#7鐵塔遷移工程（新建#4B、#4-1~#4-4鐵塔基礎及裝建）及345kV興達~路北紅、白線#4~#7鐵塔遷移工程（新建#4-1~#4-5鐵塔基礎及裝建）,高雄市永安區興達路旁工區／烏樹林段684-9地號,烏樹林段684-9地號,高雄市政府勞工局勞動檢查處,109/09/13,經濟部
84,陳OO(即誠泰水電工程行),營造業(機電、電信及電路設備安裝業),物體倒塌、崩塌,1,幸福水泥股份有限公司東澳廠,地面滲水維修工程,幸福水泥股份有限公司東澳廠廠外員工及其眷屬宿舍D棟1樓,宜蘭縣南澳鄉蘇花路3段101號,勞動部職業安全衛生署北區職業安全衛生中心,109/09/10,
85,台寶玻璃工業股份有限公司,製造業(其他玻璃及其製品製造業),墜落、滾落,1,,,台寶玻璃工業股份有限公司,新竹市香山區延平路2段97號,勞動部職業安全衛生署北區職業安全衛生中心,109/09/10,
86,OO安全科技股份有限公司,營造業(機電、電信及電路設備安裝業),感電,1,OO食品有限公司,廠房消防設備限期改善工程,嘉義縣中埔鄉OO村,-,勞動部職業安全衛生署南區職業安全衛生中心,109/09/10,
87,美力營造股份有限公司,營造業(建築工程業),墜落、滾落,1,聯立建設有限公司,後勁案店舖住宅大樓新建工程,楠梓區後勁段二小段1043地號／後昌路115號對面,高雄市楠梓區後勁段二小段1043地號,高雄市政府勞工局勞動檢查處,109/09/10,
88,百成營造有限公司,營造業(其他土木工程業),墜落、滾落,1,游OO,游OO自用停車場新建工程,地上2樓鋼構開口,新北市新店區安泰路48號,新北市政府勞動檢查處,109/09/08,
89,昀辰企業有限公司,製造業(汽車零件製造業),物體倒塌、崩塌,1,,,昀辰企業有限公司D棟模具倉庫,高雄市岡山區本工六路102號,高雄市政府勞工局勞動檢查處,109/09/08,
90,富詮營造有限公司,營造業(建築工程業),墜落、滾落,1,育驊建設有限公司,育驊建設有限公司白河區住宅結構體新建工程,南側4樓屋頂女兒牆處,臺南市白河區,勞動部職業安全衛生署南區職業安全衛生中心,109/09/07,
91,德意致營造有限公司,營造業(其他專門營造業),物體倒塌、崩塌,1,國泰人壽保險股份有限公司,國泰人壽淡水教育中心圳路改道第二期工程,霖澤大樓B棟西北側,新北市淡水區鄧公路266號,新北市政府勞動檢查處,109/09/07,
92,安停股份有限公司,營造業(建築工程業),物體飛落,1,新北市政府交通局,新北市三重區龍門公園地下停車場,龍門停車場4號停車塔,新北市三重區公園街32地號,新北市政府勞動檢查處,109/09/07,
93,志誠水電工程行,營造業(機電、電信及電路設備安裝業),感電,1,行政院農業委員會林務局東勢林區管理處,發電機輸出電源總開關二次側供電系統配管配線施工,-,-,臺中市勞動檢查處,109/09/06,
94,順成鋼鐵科技有限公司,製造業(未分類其他金屬製品製造業),被撞,1,,,,屏東縣內埔鄉黎明村黎東路40巷527號,勞動部職業安全衛生署南區職業安全衛生中心,109/09/05,
95,吉展廣告有限公司,專業、科學及技術服務業(廣告業),墜落、滾落,1,,,樹林區佳園路2段107號,-,新北市政府勞動檢查處,109/09/04,
96,大宜昌商業有限公司,用水供應及污染整治業(非有害廢棄物清除業),墜落、滾落,1,,「VCM廠2020年VCM區設備槽內乾式清洗」工程,台灣塑膠工業股份有限公司麥寮廠(VCM廠),-,勞動部職業安全衛生署中區職業安全衛生中心,109/09/01,
97,柏興水電科技有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,喬利鋼鐵工業股份有限公司,太陽能光電測試工程,高度11.55公尺廠房屋頂進行拍照作業，踏穿採光用塑膠浪板(尺寸長50公分*寬50公分)墜落至地面,南投縣草屯鎮碧峰路960號,勞動部職業安全衛生署中區職業安全衛生中心,109/09/01,
98,盧OO(即OO豆漿店),住宿及餐飲業(餐館),火災,1,-,-,OO豆漿店,彰化縣員林市莒光路499號,勞動部職業安全衛生署中區職業安全衛生中心,109/08/28,
99,冠禹數位通訊有限公司,其他服務業(視聽電子產品及家用電器維修業),墜落、滾落,1,-,-,-,-,臺中市勞動檢查處,109/08/28,
100,邱○○,營造業(建物完工裝修工程業),墜落、滾落,1,林○○,民宅採光板固定工程,新北市永和區安樂路194巷17弄11號屋頂,-,新北市政府勞動檢查處,109/08/25,
101,張OO等7人,營造業(其他專門營造業),感電,1,陳OO,苗栗縣大湖鄉南湖段1320-1330地號資材室新建工程,資材室內,苗栗縣大湖鄉南湖段1320-1330地號,勞動部職業安全衛生署中區職業安全衛生中心,109/08/24,
102,全霖企業有限公司,支援服務業(其他清潔服務業),其他,1,屏東縣政府,,倉庫圍牆旁,-,勞動部職業安全衛生署南區職業安全衛生中心,109/08/24,
103,鍾OO,營造業(機電、電信及電路設備安裝業),感電,1,,二槽式蓄熱式氧化爐設置工程揮發性有機化合物設備儀電配管,久聯化學工業股份有限公司新竹廠,-,勞動部職業安全衛生署北區職業安全衛生中心,109/08/21,
104,佳惠工程行,營造業(建物完工裝修工程業),被撞,1,醫療財團法人正德癌症醫療基金會,佛教正德行政大樓新建案的油漆工程,車道,臺中市南屯區益昌五街91號旁,勞動部職業安全衛生署中區職業安全衛生中心,109/08/21,
105,吳OO,農、林、漁、牧業(林業),物體飛落,1,吳OO,,林田山事業區第149 林班,-,勞動部職業安全衛生署北區職業安全衛生中心,109/08/20,
106,增明環保工程事業有限公司,用水供應及污染整治業(資源回收處理業),墜落、滾落,1,,,增明環保工程事業有限公司,桃園市八德區大興里榮興路335號,桃園市政府勞動檢查處,109/08/19,
107,泰緯建設有限公司,營造業(建物完工裝修工程業),墜落、滾落,1,無,大統段新建工程,高雄市新興區復興二路213號旁工地,高雄市新興區大統段一小段450地號,高雄市政府勞工局勞動檢查處,109/08/19,
108,展揚營造有限公司,營造業(建築工程業),感電,1,桃園市政府新建工程處,平鎮新富市場綜合大樓新建工程,於地下室B1機房從事排煙機組之水電配線作業感電,桃園市平鎮區新富五街,桃園市政府勞動檢查處,109/08/17,
109,愛比森國際股份有限公司台中廠,製造業(清潔用品及化粧品製造業),被夾、被捲,1,-,-,潔淨區,-,臺中市勞動檢查處,109/08/17,
110,大晟營造股份有限公司,營造業(建築工程業),墜落、滾落,1,臺灣亞銳士股份有限公司,大城太祥段235等地號新建工程,營建用升降機搭乘平臺通道,臺中市北屯區祥順三街近祥順東路口,勞動部職業安全衛生署中區職業安全衛生中心,109/08/15,
111,國揚裝卸股份有限公司,運輸及倉儲業(汽車貨運業),墜落、滾落,1,,,基隆港西岸30號碼頭,基隆港西岸30號碼頭,勞動部職業安全衛生署北區職業安全衛生中心,109/08/09,
112,統帥公寓大廈管理維護有限公司,支援服務業(複合支援服務業),墜落、滾落,1,藍海帝國社區管理委員會,-,-,-,臺中市勞動檢查處,109/08/09,
113,欣達環工股份有限公司,營造業(其他專門營造業),感電,1,臨海水務股份有限公司,高雄市臨海污水處理廠暨放流水回收再利用BTO計畫之興建統包工程,高雄市小港區鳳北路4之1號,高雄市小港區鳳北路4之1號,高雄市政府勞工局勞動檢查處,109/08/05,
114,臺北市政府工務局水利工程處,公共行政及國防；強制性社會安全(政府機關),被撞,1,略,略,略,-,臺北市勞動檢查處,109/08/03,
115,享福企業有限公司,營造業(其他專門營造業),被夾、被捲,1,獅子林大樓商場發展委員會,無工程名稱(為一般電梯故障排除維修作業),獅子林商業大樓A區2號電梯地下二樓至地下一樓之間,萬華區西寧南路36號,臺北市勞動檢查處,109/08/02,
116,中化合成生技股份有限公司,製造業(西藥製造業),墜落、滾落,1,,,中化合成生技股份有限公司,-,新北市政府勞動檢查處,109/08/02,
117,松富茶廠,製造業(製茶業),感電,1,,,松富茶廠,-,勞動部職業安全衛生署中區職業安全衛生中心,109/07/29,
118,巫OO(即宏信工程行),營造業(其他土木工程業),墜落、滾落,1,廣玄宮管理委員會,廣玄宮寺廟建築工程,自高度約6.8公尺之外牆施工架工作臺墜落至地面,彰化縣彰化市中山路三段554巷76號,勞動部職業安全衛生署中區職業安全衛生中心,109/07/29,
119,黃oo(即聯豐鋼品企業社),營造業(其他專門營造業),墜落、滾落,1,金界旺企業股份有限公司,熔爐廠房修繕工程,金界旺企業股份有限公司,-,勞動部職業安全衛生署中區職業安全衛生中心,109/07/28,
120,鄞OO,營造業(其他土木工程業),墜落、滾落,1,古嚴寺,從事屋頂水泥破孔填平維修準備前置作業,高雄市仁武區公館一巷34號,高雄市仁武區公館一巷34號,高雄市政府勞工局勞動檢查處,109/07/28,
