項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
1,世薪工程有限公司,營造業(其他專門營造業),墜落、滾落,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,109/12/31,
2,昌蘄畜牧場,農、林、漁、牧業(豬飼育業),溺斃,1,昌蘄畜牧場,無,昌蘄畜牧場污水池,彰化縣二林鎮武山巷11號,勞動部職業安全衛生署中區職業安全衛生中心,109/12/31,
3,新宜營造工程有限公司,營造業(建築工程業),墜落、滾落,1,群創力科技有限公司,群創力科技有限公司雨遮新建工程,施工架工作台,-,勞動部職業安全衛生署北區職業安全衛生中心,109/12/25,
4,虎欣實業股份有限公司,製造業(其他金屬容器製造業),被夾、被捲,1,,,新北市土城區民權街5號,-,新北市政府勞動檢查處,109/12/24,
5,世紀離岸風電設備股份有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,1,世紀離岸風電設備股份有限公司,南碼頭第三期新建工程,新北市八里區下罟子段下罟子小段556地號,新北市八里區下罟子段下罟子小段556地號,勞動部職業安全衛生署北區職業安全衛生中心,109/12/22,
6,佑晟冷凍設備科技有限公司,製造業(未分類其他金屬製品製造業),墜落、滾落,1,福星食品有限公司,冷凍庫汰換工程,新北市三重區興德路141巷1號1樓,新北市三重區興德路141巷1號1樓,新北市政府勞動檢查處,109/12/21,
7,旭富製藥科技股份有限公司桃園廠,製造業(西藥製造業),爆炸,1,無,無,旭富製藥公司桃園廠3區2樓編號R0304反應槽,桃園市蘆竹區海湖北路309巷61號,桃園市政府勞動檢查處,109/12/20,
8,永隆工程股份有限公司,營造業(機電、電信及電路設備安裝業),物體倒塌、崩塌,1,台灣中油股份有限公司台中液化天然氣廠,台中廠LNG灌裝設施新建工程,台灣中油股份有限公司台中液化天然氣廠區,-,勞動部職業安全衛生署中區職業安全衛生中心,109/12/18,經濟部
9,星鋐能源科技有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,雄進鋼構股份有限公司,廠房屋頂太陽能光電面板清洗工程,屋頂,屏東縣新園鄉西平路91號,勞動部職業安全衛生署南區職業安全衛生中心,109/12/17,
10,國揚鋁業股份有限公司,製造業(鋁材軋延、擠型及伸線業),墜落、滾落,1,,,,-,新北市政府勞動檢查處,109/12/13,
11,台灣電力股份有限公司輸變電工程處南區施工處,電力及燃氣供應業(電力供應業),墜落、滾落,1,台灣電力股份有限公司,345kV興達~龍崎一、三路#4~#7鐵塔遷移工程（新建#4B、#4-1~#4-4鐵塔基礎及裝建）及345kV興達~路北紅、白線#4~#7鐵塔遷移工程（新建#4-1~#4-5鐵塔基礎及裝建）,高雄市永安區興達路旁工區／烏樹林段684-9地號,高雄市永安區烏樹林段684-9地號,高雄市政府勞工局勞動檢查處,109/12/13,經濟部
12,雙慈殿,其他服務業(宗教組織),物體飛落,1,,雙慈殿凌霄寶殿室內地磚備料作業,雙慈殿外牆西側吊料區,高雄市鳳山區三民路285之1號,高雄市政府勞工局勞動檢查處,109/12/12,
13,鉦盛營造有限公司,營造業(建築工程業),跌倒,1,頡懋建設有限公司,富貴莊園3-1期(20戶)新建工程,D區D3戶1樓地面,龍井區竹師路一段100巷5弄3號旁,勞動部職業安全衛生署中區職業安全衛生中心,109/12/10,
14,松大畜牧場,農、林、漁、牧業(豬飼育業),感電,1,-,-,彰化縣大城鄉菜寮村過溝巷11-1號,-,勞動部職業安全衛生署中區職業安全衛生中心,109/12/09,
15,國防部軍備局生產製造中心第205廠(大樹營區),公共行政及國防；強制性社會安全(國防事務),爆炸,1,,,高雄市大樹區姑山路112號806廠房鋁粉秤藥區,-,高雄市政府勞工局勞動檢查處,109/12/09,
16,力禾建設股份有限公司,營造業(其他土木工程業),物體倒塌、崩塌,1,新竹市政府,108年度污水下水道系統開口契約工程,新竹市東大路二段之下水道,新竹市東大路二段與東大路二段440巷交接處,勞動部職業安全衛生署北區職業安全衛生中心,109/12/07,
17,東昌企業社,用水供應及污染整治業(資源回收處理業),物體倒塌、崩塌,1,-,-,彰化縣彰化市中山路3段708-2號（東昌企業社之回收廠）,-,勞動部職業安全衛生署中區職業安全衛生中心,109/12/07,
