項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
164,頂宏環保有限公司,用水供應及污染整治業(非有害廢棄物處理業),其他,1,,,頂宏環保有限公司物料堆置場,桃園市八德區興豐路2350巷502號旁,桃園市政府勞動檢查處,108/07/02,
165,范○○(即奕昌水電工程行),營造業(建物完工裝修工程業),感電,1,陶一企業有限公司新豐廠,新豐廠頂樓地面漏水維修工程,陶一企業有限公司新豐廠,-,勞動部職業安全衛生署北區職業安全衛生中心,108/07/01,
166,鄒OO(即宏興汽車電機行),其他服務業(其他個人服務業),被撞,1,李OO,挖土機維修作業,花蓮縣富里鄉復興路66號旁河床,-,勞動部職業安全衛生署北區職業安全衛生中心,108/06/29,
167,昇翔企業社,營造業(冷凍、空調及管道工程業),感電,1,,,彰化縣和美鎮頭前里北堂路149號,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/29,
168,江OO(即甲房空間設計工程行),營造業(建物完工裝修工程業),感電,1,劉OO,劉OO住宅後側增建工程,2樓後側陽台,-,勞動部職業安全衛生署南區職業安全衛生中心,108/06/28,
169,巨鼎精密機械企業有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,1,,,,-,勞動部職業安全衛生署北區職業安全衛生中心,108/06/27,
170,李OO,營造業(其他專門營造業),感電,1,孫OO,曾OO住宅新建工程,高雄市六龜區OOO,-,高雄市政府勞工局勞動檢查處,108/06/27,
171,吳OO,運輸及倉儲業(汽車貨運業),物體飛落,1,立達鋼鐵股份有限公司,,得協企業股份有限公司,-,勞動部職業安全衛生署北區職業安全衛生中心,108/06/26,
172,-,營造業(其他專門營造業),墜落、滾落,1,-,鐵皮屋拆除工程,屋架,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/26,
173,伽明企業有限公司,製造業(金屬建築組件製造業),墜落、滾落,1,吳O、李OO、陳OO等6人,屋頂修繕工程,新北市板橋區大觀路2段3巷115號,-,新北市政府勞動檢查處,108/06/26,
174,盟慶營造有限公司,營造業(其他專門營造業),墜落、滾落,1,高雄捷運股份有限公司,R11臨時車站商業空間金屬鐵件拆除工程,高雄市捷運R11車站商業空間,高雄市三民區建國二路320號,高雄市政府勞工局勞動檢查處,108/06/26,
175,莊OO,營造業(冷凍、空調及管道工程業),墜落、滾落,1,林OO,竹塘鄉竹五路OO號民宅屋頂水塔更換工程,彰化縣竹塘鄉竹五路171號民宅頂樓屋突樓板,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/25,
176,徐OO,農、林、漁、牧業(稻作栽培業),被夾、被捲,1,黃OO,無,業主黃OO家中,-,桃園市政府勞動檢查處,108/06/25,
177,臺運實業股份有限公司,運輸及倉儲業(汽車貨運業),被撞,1,-,空櫃堆放,高雄市旗津區旗津一路1之1號,高雄市旗津區旗津一路1之1號,高雄市政府勞工局勞動檢查處,108/06/24,
178,楊OO（即天翊空調行）,營造業(冷凍、空調及管道工程業),感電,1,全國電子股份有限公司,冷氣安裝工程,陽臺,-,新北市政府勞動檢查處,108/06/22,
179,興玉輝營造股份有限公司,營造業(其他專門營造業),跌倒,1,交通部公路總局第四區養護工程處,台23線1k+500富里大橋改建工程,工程鋼筋加工場,花蓮縣富里鄉富里大橋工地(台23線),勞動部職業安全衛生署北區職業安全衛生中心,108/06/21,交通部
180,楊OO,營造業(其他專門營造業),墜落、滾落,1,揚鋼鑄造股份有限公司,廠房屋頂修繕工程,揚鋼鑄造股份有限公司廠房屋頂,-,臺中市勞動檢查處,108/06/19,
181,李OO(自然人),營造業(其他專門營造業),墜落、滾落,1,,浪板更換工程,嘉義縣義竹鄉北港子段北華小段22、23地號雞糞太空包倉庫屋頂,-,勞動部職業安全衛生署南區職業安全衛生中心,108/06/18,
182,巨勳廣告工程有限公司,專業、科學及技術服務業(廣告業),墜落、滾落,1,農禪寺,農禪寺豐年段一小段566地號臨時展場維修工程,遮雨棚屋頂,臺北市北投區大業路65巷,臺北市勞動檢查處,108/06/17,
183,生泰企業社,營造業(其他建築設備安裝業),墜落、滾落,1,,,雲林縣斗南鎮中和路44號,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/15,
184,成旺管理顧問有限公司,支援服務業(建築物一般清潔服務業),其他,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/13,
185,誠興建設有限公司,營造業(其他土木工程業),墜落、滾落,1,誠興建設有限公司,高雄市左營區子華路8戶住宅新建工程,A3棟2樓電梯開口,高雄市左營區菜公段五小段789-37地號,高雄市政府勞工局勞動檢查處,108/06/13,
186,正在機械工業股份有限公司,製造業(其他金屬加工用機械設備製造業),墜落、滾落,1,高興昌鋼鐵股份有限公司,進行拆除及清理中間隔板設備作業,高雄市永安區永工一路6號,高雄市永安區永工一路6號,高雄市政府勞工局勞動檢查處,108/06/12,
187,晨祥營造股份有限公司,營造業(建築工程業),被撞,1,鼎霖國際有限公司,鼎霖國際廠辦新建工程,於開挖面測量作業時遭挖溝機挖斗撞擊,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/09,
188,易宏熱鍍鋅工業股份有限公司,製造業(金屬表面處理業),墜落、滾落,1,,,易宏熱鍍鋅工業股份有限公司位於高雄市大寮區大有3街15號所屬固定式起重機(編號:13F4205920002)上,高雄市大寮區大有3街15號,高雄市政府勞工局勞動檢查處,108/06/09,
189,彰員營造股份有限公司,營造業(其他土木工程業),感電,1,臺灣彰化農田水利會,建興重劃區下山腳小排2-2維護工程,堤防旁產業道路,彰化縣大城鄉,勞動部職業安全衛生署中區職業安全衛生中心,108/06/07,行政院農業委員會
190,鑫祥電機有限公司,製造業(發電、輸電及配電機械製造業),感電,1,嵩益股份有限公司,高壓電電線桿二次側接線工程,嵩益股份有限公司廠房,-,勞動部職業安全衛生署北區職業安全衛生中心,108/06/06,
191,林OO(即偉豐企業社),營造業(建物完工裝修工程業),感電,1,禾林建設有限公司,禾林RICH ONE II接待中心暨樣品屋裝修工程,禾林建設大廈銷售中心,桃園市中壢區高鐵站前西路2段57號1樓,桃園市政府勞動檢查處,108/06/06,
192,鴻翔豐企業有限公司,營造業(冷凍、空調及管道工程業),感電,1,億光電子工業股份有限公司,億光電子工業股份有限公司土城廠整改工程,新北市土城區中央路3段76巷25號,-,新北市政府勞動檢查處,108/06/05,
193,台灣電力股份有限公司台北南區營業處,電力及燃氣供應業(電力供應業),感電,1,,,新北市板橋區懷仁街77巷18號前,新北市板橋區懷仁街77巷18號前,新北市政府勞動檢查處,108/06/05,
194,許OO〈即震順發2號漁船〉,農、林、漁、牧業(漁撈業),溺斃,1,,,屏東縣東港鎮東港漁港漁船停泊區,-,勞動部職業安全衛生署南區職業安全衛生中心,108/06/03,
195,中國石油化學工業開發股份有限公司頭份廠,製造業(化學原材料製造業),物體倒塌、崩塌,1,,,中國石油化學工業開發股份公司頭份廠煤倉,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/01,
196,蔡OO(即阿本工程行),營造業(整地、基礎及結構工程業),被撞,1,臺灣港務股份有限公司臺中港務分公司,臺中港5A碼頭改建及5B碼頭新建工程暨淺水船渠整建工程,臺中市清水區臺中港5A及5B碼頭之「臺中港5A碼頭改建及5B碼頭新建工程暨淺水船渠整建工程」工地,-,勞動部職業安全衛生署中區職業安全衛生中心,108/06/01,交通部
197,李OO（即宏聖工程行）,營造業(冷凍、空調及管道工程業),被撞,1,新北市政府水利局,新北市三峽區、鶯歌區污水下水道系統第一期工程污水管線第五、七、九、十一標(主次幹管、分支管及用戶接管),AC01下水道工作井,新北市鶯歌區建國路255號前,新北市政府勞動檢查處,108/06/01,
198,林○○,農、林、漁、牧業(內陸養殖業),溺斃,1,,,四分45L4號電桿旁之魚塭,-,勞動部職業安全衛生署南區職業安全衛生中心,108/05/31,
199,廣弘營造有限公司,營造業(其他土木工程業),物體倒塌、崩塌,1,,,倉庫處,-,勞動部職業安全衛生署南區職業安全衛生中心,108/05/31,
200,杜OO,營造業(建物完工裝修工程業),墜落、滾落,1,鄭OO(即喜優汽車旅館),竹北Magic 汽車旅館全案外觀意象及整體內裝設計及全案工程總體承包,竹北Magic 汽車旅館,-,勞動部職業安全衛生署北區職業安全衛生中心,108/05/30,
201,侑升工程有限公司,製造業(預拌混凝土製造業),墜落、滾落,1,,混凝土運送工作,美耐石公司廢料堆置坑,-,勞動部職業安全衛生署中區職業安全衛生中心,108/05/30,
202,明石營造有限公司,營造業(道路工程業),物體飛落,1,臺南市善化區公所,臺南市善化區嘉北里排水改善工程,物料堆置場,-,勞動部職業安全衛生署南區職業安全衛生中心,108/05/30,
203,自然人戴OO,批發及零售業(水產品批發業),溺斃,1,-,從事捕撈虱目魚作業,高雄市彌陀區彌海段0525-00272地號,高雄市彌陀區彌海段0525-00272地號,高雄市政府勞工局勞動檢查處,108/05/25,
204,澤和營造有限公司,營造業(建築工程業),墜落、滾落,1,林0,住宅新建工程,連江縣南竿鄉仁愛村2-1號旁工地,連江縣南竿鄉仁愛村2-1號旁,勞動部職業安全衛生署北區職業安全衛生中心,108/05/24,
205,奧璐佳瑙科技股份有限公司、中信玻璃纖維工業股份有限公司,製造業(冶金機械製造業),與有害物等之接觸,2,台灣積體電路製造股份有限公司,台積電南科18廠新建工程,南科台南園區北園二路與三抱竹路交叉口,台南市安定區北園二路8號,南部科學園區管理局,108/05/23,
206,許○○,營造業(整地、基礎及結構工程業),墜落、滾落,1,陳○○,台南市安南區青砂街一段572巷151號之2旁民宅新建工程(鋼構主體),台南市安南區青砂街一段572巷151號之2旁民宅2樓,台南市安南區青砂街一段572巷151號之2旁,勞動部職業安全衛生署南區職業安全衛生中心,108/05/22,
207,亞太國際物流股份有限公司,運輸及倉儲業(普通倉儲業),物體倒塌、崩塌,1,,-,高雄市小港區東亞路2號,高雄市小港區東亞路2號,高雄市政府勞工局勞動檢查處,108/05/22,
208,張OO,營造業(),墜落、滾落,1,王OO,民宅油漆工程,地上1樓,-,新北市政府勞動檢查處,108/05/20,
209,吳OO,製造業(肉類其他加工及保藏業),物體倒塌、崩塌,1,新合發冷凍食品股份有限公司利澤廠,,新合發冷凍食品股份有限公司利澤廠2樓發電室,-,勞動部職業安全衛生署北區職業安全衛生中心,108/05/18,
210,宏華營造股份有限公司,營造業(其他土木工程業),被撞,1,,臺中港36號碼頭新建工程,第36號碼頭,臺中市梧棲區臺中港,勞動部職業安全衛生署中區職業安全衛生中心,108/05/18,交通部
211,三賀工程行,營造業(庭園景觀工程業),與高溫、低溫之接觸,1,承泰市地重劃股份有限公司,臺南市南區萬年五街120號後方園藝工作,台南市南區萬年五街120號後方植栽種植區,-,勞動部職業安全衛生署南區職業安全衛生中心,108/05/17,
212,工信工程股份有限公司,營造業(公用事業設施工程業),墜落、滾落,1,台灣電力股份有限公司核能火力發電工程處,林口電廠更新擴建計畫筒式煤倉系統統包工程,工地內A3筒倉,新北市林口區下福里139之1號,勞動部職業安全衛生署北區職業安全衛生中心,108/05/16,經濟部
213,瑞華實業股份有限公司,製造業(皮革及毛皮整製業),跌倒,1,,,包裝區外通道,臺南市山上區明和里北勢洲88號,勞動部職業安全衛生署南區職業安全衛生中心,108/05/15,
214,陳○勇(即榮發工業社),批發及零售業(其他建材批發業),墜落、滾落,1,,,屋頂,桃園市新屋區中山東路2段362號,桃園市政府勞動檢查處,108/05/14,
215,大陸工程股份有限公司,營造業(建物完工裝修工程業),物體倒塌、崩塌,1,尚志資產開發股份有限公司,尚志資產開發公司土城員和段住宅新建一期工程,地上10樓,新北市土城區中央路1段325號,新北市政府勞動檢查處,108/05/13,
216,迅達電梯股份有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,聯聚建設股份有限公司,聯聚中雍大廈高層辦公大樓新建工程,3號電梯,西屯區市政北七路98號,勞動部職業安全衛生署中區職業安全衛生中心,108/05/10,
217,勝一化工股份有限公司,製造業(化學原材料製造業),與有害物等之接觸,1,,,勝一化工股份有限公司前鎮廠,高雄市前鎮區立業街2號,高雄市政府勞工局勞動檢查處,108/05/10,
218,張OO,營造業(建物完工裝修工程業),物體倒塌、崩塌,1,陳OO,陳OO住宅修繕工程,陳OO住宅,-,桃園市政府勞動檢查處,108/05/08,
219,台灣聚合化學品股份有限公司,製造業(塑膠原料製造業),被撞,1,,,台灣聚合化學品股份有限公司高雄廠,仁武區鳳仁路330號,高雄市政府勞工局勞動檢查處,108/05/07,
220,三芳化學工業股份有限公司,製造業(其他皮革及毛皮製品製造業),被夾、被捲,1,,,三芳化學工業股份有限公司第七工廠含浸處理機3號機之壓光輪,高雄市仁武區鳳仁路402號,高雄市政府勞工局勞動檢查處,108/05/06,
221,力成科技股份有限公司3C廠,製造業(未分類其他電子零組件製造業),墜落、滾落,1,,空調濾網清潔作業,力成科技股份有限公司3C廠,-,勞動部職業安全衛生署北區職業安全衛生中心,108/05/05,
222,台灣佳能股份有限公司,用水供應及污染整治業(非有害廢棄物清除業),感電,1,,污泥槽清洗作業,地下1樓西側廢液集中處理室之濃廢液中繼槽,-,經濟部加工出口區管理處,108/05/05,
223,鋐德工程行,營造業(建物完工裝修工程業),墜落、滾落,1,簡○○,鋼架烤漆板工程,外牆第4層施工架工作臺上,-,勞動部職業安全衛生署中區職業安全衛生中心,108/05/04,
224,匯發營造有限公司,營造業(其他專門營造業),墜落、滾落,1,達紡企業股份有限公司,達紡企業股份有限公司觀音廠辦新建工程,工區南側鋼構組配作業場所,桃園市觀音區信義路156巷48號旁,桃園市政府勞動檢查處,108/05/03,
225,燦坤實業股份有限公司,批發及零售業(家用電器零售業),墜落、滾落,1,-,樹枝修剪,高雄市旗山區樹人路63-8號,-,高雄市政府勞工局勞動檢查處,108/05/03,
226,中福營造股份有限公司,營造業(建築工程業),墜落、滾落,1,月眉國際開發股份有限公司,麗寶樂園運動園區購物街三期新建工程,B棟S32樓梯處,臺中市后里區月眉北路與福容路口,勞動部職業安全衛生署中區職業安全衛生中心,108/04/30,
227,久慶營造有限公司,營造業(公用事業設施工程業),物體倒塌、崩塌,1,台灣電力股份有限公司輸變電工程處中區施工處,通霄~義和345KV線#42~#49鐵塔及#40~#49延緊線工程,通霄~義和345kV線#49鐵塔,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/30,經濟部
228,李○○,營造業(其他專門營造業),墜落、滾落,1,程○○,室內裝潢拆除工程,2樓雨遮屋頂,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/30,
229,榮盈工業股份有限公司二廠,製造業(自行車零件製造業),墜落、滾落,1,,,D棟一樓遮雨棚,-,勞動部職業安全衛生署南區職業安全衛生中心,108/04/30,
230,榮盈工業股份有限公司二廠,製造業(自行車零件製造業),墜落、滾落,1,,,,臺南市佳里區海澄里萊芊寮1之12、1之16號,勞動部職業安全衛生署南區職業安全衛生中心,108/04/30,
231,三僕行貨櫃運輸股份有限公司,運輸及倉儲業(其他陸上運輸輔助業),墜落、滾落,1,-,行鋸木條作業,高雄市左營區博愛四路380號,高雄市左營區博愛四路380號,高雄市政府勞工局勞動檢查處,108/04/30,
232,立路企業股份有限公司,製造業(其他通用機械設備製造業),被夾、被捲,1,陳OO,,陳OO住宅,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/29,
233,廖洺祥(即元厚工程行),農、林、漁、牧業(林業),物體倒塌、崩塌,1,,107年度大湖事業區第59林班造林地疏伐撫育工作,貯木場地,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/29,
234,豐悅景觀有限公司,營造業(庭園景觀工程業),墜落、滾落,1,全富發建設開發股份有限公司,全富發建設開發股份有限公司店鋪、集合住宅裝修工程,全富發建設開發股份有限公司店鋪、集合住宅裝修工程,桃園市桃園區新埔八街82號,桃園市政府勞動檢查處,108/04/29,
235,中華工程股份有限公司,營造業(其他土木工程業),墜落、滾落,1,交通部公路總局西部濱海公路北區臨時工程處,西濱快速公路WH10-C標64K+005~69K+600新建主線工程,新竹縣新豐鄉WH10-C標PLSE7加肋拱橋處,-,勞動部職業安全衛生署北區職業安全衛生中心,108/04/27,交通部
236,陳○○(即虎尾魷魚?麵),住宿及餐飲業(餐館),與高溫、低溫之接觸,1,無,無,雲林縣虎尾鎮和平路133號,雲林縣虎尾鎮和平路133號,勞動部職業安全衛生署中區職業安全衛生中心,108/04/26,
237,中華郵政股份有限公司新竹郵局,運輸及倉儲業(郵政業),公路交通事故,1,,,新竹市東華路與育德街交岔路口,-,勞動部職業安全衛生署北區職業安全衛生中心,108/04/25,
238,成中恆營造股份有限公司,營造業(建築工程業),溺斃,1,大里市中興國宅都市更新會,大里中興國宅都市更新案新建工程,地下2樓,台中市大里區中山路與中山路一巷交叉口,勞動部職業安全衛生署中區職業安全衛生中心,108/04/25,
239,日強運動器材企業有限公司,製造業(體育用品製造業),墜落、滾落,1,社團法人中國青年救國團,籃球架維修,蘆洲運動中心,新北市蘆洲區長樂路235之1,新北市政府勞動檢查處,108/04/25,
240,林OO(即林OO畜牧場),農、林、漁、牧業(豬飼育業),墜落、滾落,1,,,林OO畜牧場母豬南舍,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/24,
241,鼎信營造有限公司,營造業(建築工程業),被撞,1,中洲建設有限公司,中洲建設香揚段集合住宅新建工程(79戶),工程編號左下30之預壘樁,屏東縣屏東市瑞華街,勞動部職業安全衛生署南區職業安全衛生中心,108/04/24,
242,雄駿營造有限公司,營造業(道路工程業),墜落、滾落,1,交通部公路總局第一區養護工程處,中和段108年台15、台61、台61甲線、台64線、台65線預約經常性公路零星修復及轄區備援災害搶修工程,新北市三重區「台64線西行三重中山橋匝道（主線樁號西行14K+300）」,新北市三重區中山橋匝道,新北市政府勞動檢查處,108/04/24,交通部
243,林OO,營造業(其他專門營造業),墜落、滾落,1,-,屋頂防漏工程保固期修繕,3樓陽台鐵窗外側,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/22,
244,惠民實業股份有限公司,營造業(公用事業設施工程業),墜落、滾落,1,臺南市政府水利局,安平水資源回收中心污泥乾燥系統新建工程,一樓屋頂,台南市安平區健康路三段15號,勞動部職業安全衛生署南區職業安全衛生中心,108/04/20,
245,順勝運輸有限公司,運輸及倉儲業(汽車貨運業),被夾、被捲,1,,,統一速達股份有限公司南大安營業所,新北市新店區寶中路95號之11,新北市政府勞動檢查處,108/04/20,
246,富蘭工業股份有限公司,製造業(未分類其他紙製品製造業),感電,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/18,
247,運勤機械工業股份有限公司,製造業(其他通用機械設備製造業),墜落、滾落,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/18,
248,富蘭工業股份有限公司,製造業(未分類其他紙製品製造業),感電,1,,,富蘭工業股份有限公司廢水處理區,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/18,
249,林OO,營造業(其他專門營造業),墜落、滾落,1,楚O,自宅修繕工程,樓梯,-,勞動部職業安全衛生署北區職業安全衛生中心,108/04/17,
250,徐○○(即進利企業行),營造業(),墜落、滾落,1,集森實業股份有限公司,集森實業股份有限公司廠房左側屋頂及牆面換修工程,左側屋頂處,-,勞動部職業安全衛生署南區職業安全衛生中心,108/04/17,
251,政鈺機械股份有限公司,製造業(其他通用機械設備製造業),墜落、滾落,1,鼎峰自動化股份有限公司永興廠,2500mm真空成型盤整修,鼎峰自動化股份有限公司永興廠生管區,-,臺中市勞動檢查處,108/04/16,
252,唯勤工程有限公司,營造業(冷凍、空調及管道工程業),被夾、被捲,1,新北市政府環境保護局,樹林焚化廠歲修工程,新北市政府環境保護局樹林垃圾焚化廠,新北市樹林區中山路三段212號,勞動部職業安全衛生署北區職業安全衛生中心,108/04/12,
253,謝OO,營造業(其他專門營造業),墜落、滾落,1,楊OO,中市太平區中興路113巷29弄4號房屋修繕工程,2樓屋頂,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/10,
254,張○○,營造業(其他專門營造業),墜落、滾落,1,鴻運大樓管理委員會,鴻運大樓頂樓泥作大水塔滲漏修繕工程,屋頂,臺北市松山區八德路4段123號,臺北市勞動檢查處,108/04/09,
255,斯密特焜陽港勤服務股份有限公司,運輸及倉儲業(其他水上運輸輔助業),溺斃,1,,,八里區臺北港東8碼頭,-,新北市政府勞動檢查處,108/04/09,
256,木利營造有限公司,營造業(其他專門營造業),物體飛落,1,力成科技股份有限公司,力成科技股份有限公司竹科三廠新建工程,力成科技股份有限公司竹科三廠新建工程工地之東南側施工構台邊地下2樓,-,新竹科學園區管理局,108/04/09,
257,中福營造股份有限公司,營造業(建築工程業),墜落、滾落,1,月眉國際開發股份有限公司,麗寶樂園運動園區購物街三期新建工程,B棟S32樓梯處,臺中市后里區月眉北路與福容路口,勞動部職業安全衛生署中區職業安全衛生中心,108/04/07,
258,喬乙工程有限公司,營造業(其他專門營造業),墜落、滾落,1,-,楠梓餐廳鋼構新建工程,鋼構側牆C型鋼處,高雄市楠梓區藍昌段三小段166地號,高雄市政府勞工局勞動檢查處,108/04/06,
259,御瑋營造有限公司,營造業(其他土木工程業),物體倒塌、崩塌,1,行政院農業委員會水土保持局臺南分局,牛角坑野溪整治工程,左岸擋土牆樁號0K+41.08處,-,勞動部職業安全衛生署南區職業安全衛生中心,108/04/04,行政院農業委員會
260,李OO,製造業(金屬模具製造業),跌倒,1,,,,-,新北市政府勞動檢查處,108/04/04,
261,詠灃工程有限公司,製造業(產業用機械設備維修及安裝業),墜落、滾落,1,新北市政府水利局,,抽水站,-,新北市政府勞動檢查處,108/04/03,
262,鈞捷工程有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,桃園市余姓宗親會,桃園市余姓宗親會所有座落平鎮區賦梅段36地號之新建工程,桃園市余姓宗親會工地內,桃園市平鎮區復旦路3段85號,桃園市政府勞動檢查處,108/04/03,
263,徐OO(即佳沁工程行),營造業(其他專門營造業),墜落、滾落,1,,廠房屋頂浪板加蓋工程,統一熱能工程有限公司廠房屋頂處,高雄市大寮區光華路5之2號,高雄市政府勞工局勞動檢查處,108/04/03,
264,國城營造有限公司,營造業(其他專門營造業),墜落、滾落,1,和發建設股份有限公司,和發建設桃園市楊梅區梅獅段335地號等10筆結構體工程,工區E棟南側1樓外牆施工架第2層踏板,桃園市楊梅區梅獅路2段249巷旁,桃園市政府勞動檢查處,108/04/02,
265,大倡國際商務股份有限公司,製造業(未分類其他非金屬礦物製品製造業),被夾、被捲,1,,,乾燥組拆板機,-,勞動部職業安全衛生署中區職業安全衛生中心,108/04/01,
266,暉倫股份有限公司,運輸及倉儲業(其他水上運輸輔助業),溺斃,1,,基隆港船舶帶解纜業務,基隆港東11號碼頭,基隆港東11號碼頭,勞動部職業安全衛生署北區職業安全衛生中心,108/03/31,
267,長春石油化學股份有限公司苗栗二廠,製造業(未分類其他化學製品製造業),公路交通事故,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/03/29,
268,凱勗工程有限公司,營造業(機電、電信及電路設備安裝業),被撞,1,臺北市政府工務局公園路燈工程管理處,108年度西南區路燈新設預約工程,臺北市文山區興隆路3段255巷44號前斜坡道路,-,臺北市勞動檢查處,108/03/26,
269,立名機械有限公司,製造業(其他通用機械設備製造業),物體飛落,1,,,立名機械有限公司,-,勞動部職業安全衛生署北區職業安全衛生中心,108/03/22,
270,中華工程股份有限公司,營造業(其他土木工程業),被撞,1,-,彰化濱海工業區開發工程-線西工業用水專管主幹管工程(第一期),彰化縣線西鄉線工南四路之開挖場所,彰化縣線西鄉線工南四路,勞動部職業安全衛生署中區職業安全衛生中心,108/03/22,
271,天富防水塗料行,營造業(其他專門營造業),墜落、滾落,1,五山食品業有限公司,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/03/22,
272,林○○,營造業(建物完工裝修工程業),墜落、滾落,1,李OO,臺南市仁德區義林路倉庫屋頂維修工程,鐵皮倉庫 屋頂,-,勞動部職業安全衛生署南區職業安全衛生中心,108/03/21,
273,謝○○(即三和水泥製品工廠),營造業(建物完工裝修工程業),墜落、滾落,1,張OO,七股區民宅屋頂換修及舊瓦油漆工程,屋頂處前方之雨遮,-,勞動部職業安全衛生署南區職業安全衛生中心,108/03/21,
274,林○○,營造業(建物完工裝修工程業),墜落、滾落,1,林○○,倉庫屋頂維修工程,臺南市仁德區義林路306-5號,臺南市仁德區義林路306-5號,勞動部職業安全衛生署南區職業安全衛生中心,108/03/21,
275,自然人鄭OO,營造業(建物完工裝修工程業),墜落、滾落,1,新東洋海釣場,更換鐵皮板,高雄市小港區桂陽路175巷6弄1之13號,高雄市小港區桂陽路175巷6弄1之13號,高雄市政府勞工局勞動檢查處,108/03/21,
276,普森環保科技股份有限公司,製造業(化學原材料製造業),與有害物等之接觸,1,,,濾液作業區,-,桃園市政府勞動檢查處,108/03/20,
277,幸福水泥股份有限公司東澳廠,製造業(水泥製造業),墜落、滾落,1,,,幸福水泥股份有限公司東澳廠,-,勞動部職業安全衛生署北區職業安全衛生中心,108/03/17,
278,泉嘉消防工程有限公司,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,麗麒開發建設股份有限公司,麗麒柏翠新建工程（104板建字第525號）,機械停車升降機車台板,板橋區廣權路43號旁,新北市政府勞動檢查處,108/03/15,
279,和昕開發有限公司,不動產業(不動產開發業),墜落、滾落,1,,,A5戶之5樓陽台造型牆處,-,勞動部職業安全衛生署南區職業安全衛生中心,108/03/14,
280,陳○○,營造業(其他專門營造業),墜落、滾落,1,陳○○,陳○○台灣茶飲料店裝潢等拆除工程,3樓窗台,-,勞動部職業安全衛生署中區職業安全衛生中心,108/03/11,
281,戴○○(即漁滿昌86號),農、林、漁、牧業(漁撈業),溺斃,1,,,新竹縣外海,-,勞動部職業安全衛生署北區職業安全衛生中心,108/03/10,
282,中華工程股份有限公司,營造業(公用事業設施工程業),墜落、滾落,1,臺北市政府捷運工程局第一區工程處,臺北都會區大眾捷運系統環狀線CF650區段標之CF651A子施工標工程,Y9景平站,新北市中和區景平路123巷口,勞動部職業安全衛生署北區職業安全衛生中心,108/03/09,
283,卓清田,運輸及倉儲業(汽車貨運業),跌倒,1,慶豐飼料貿易有限公司,物料運送工作,廣成產業股份有限公司所屬倉庫,-,勞動部職業安全衛生署中區職業安全衛生中心,108/03/07,
284,遠見營造有限公司,營造業(整地、基礎及結構工程業),墜落、滾落,1,全泉開發實業有限公司,藍田18地號新建工程,地下室1樓版吊料口,-,高雄市政府勞工局勞動檢查處,108/03/06,
285,林OO,營造業(冷凍、空調及管道工程業),墜落、滾落,1,曾OO,冷氣機拆除安裝,屋主住宅，位於新竹縣竹北市尚義街,-,勞動部職業安全衛生署北區職業安全衛生中心,108/03/02,
286,長廷營造有限公司,營造業(其他專門營造業),溺斃,1,-,107年度臺中港老舊碼頭(#13、#26)維修整建工程,第26號碼頭,臺中市梧棲區臺中港,勞動部職業安全衛生署中區職業安全衛生中心,108/02/28,交通部
287,營順塑膠有限公司,製造業(其他塑膠製品製造業),墜落、滾落,1,,,,-,勞動部職業安全衛生署中區職業安全衛生中心,108/02/28,
288,長廷營造有限公司,營造業(其他專門營造業),溺斃,1,臺灣港務股份有限公司臺中港務分公司,107年度臺中港老舊碼頭(#13、#26)維修整建工程,臺中市梧棲區臺中港第26號碼頭,台中市梧棲區中南一路二段,勞動部職業安全衛生署中區職業安全衛生中心,108/02/28,
289,張OO,營造業(建物完工裝修工程業),墜落、滾落,1,張OO,社南街廠辦室內裝修工程,1樓走道,-,勞動部職業安全衛生署中區職業安全衛生中心,108/02/28,
290,台灣石化合成股份有限公司林園廠,製造業(化學原材料製造業),火災,2,無,無,甲基第三丁基醚工場,高雄市林園區工業二路1號,高雄市政府勞工局勞動檢查處,108/02/28,
