項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
78,築禾營造有限公司,營造業(建築工程業),墜落、滾落,1,禾康開發有限公司,禾康居11戶住宅新建工程,本工程A2戶4樓樓版外部吊料平臺處,嘉義市東區信興街156號旁工地,勞動部職業安全衛生署南區職業安全衛生中心,108/09/20,
79,新旺工程股份有限公司,營造業(整地、基礎及結構工程業),物體倒塌、崩塌,1,崧益建設有限公司,崧益建設有限公司新建工程,地下3樓,新北市蘆洲區民義街9巷口,新北市政府勞動檢查處,108/09/20,
80,新旺工程股份有限公司,營造業(),物體倒塌、崩塌,1,崧益建設有限公司,崧益建設有限公司新建工程,地下3樓,-,新北市政府勞動檢查處,108/09/20,
81,九唐工程有限公司,營造業(庭園景觀工程業),物體倒塌、崩塌,1,,,新北市樹林區柑園街1段253巷35號民宅後方,-,新北市政府勞動檢查處,108/09/19,
82,王OO、蕭OO,營造業(建物完工裝修工程業),物體飛落,1,蔡OO,蔡宅2、3樓地板、牆壁磁磚更新工程,1樓屋前,-,勞動部職業安全衛生署中區職業安全衛生中心,108/09/18,
83,崴勝電力工程有限公司,營造業(公用事業設施工程業),墜落、滾落,1,台灣電力股份有限公司嘉南供電區營運處,108年度雲林及嘉義分隊零星輸電架空線路設備積點工程,69kV北港～土庫線第79號鐵塔,-,勞動部職業安全衛生署中區職業安全衛生中心,108/09/17,經濟部
84,閎翔營造有限公司,營造業(建築工程業),墜落、滾落,1,元方建設股份有限公司,元方/禾建築新建工程,新竹縣新埔鎮仰德段1723地號,新竹縣新埔鎮仰德段1723地號,勞動部職業安全衛生署北區職業安全衛生中心,108/09/16,
85,益誠商行,批發及零售業(其他綜合商品零售業),被撞,1,無,無,益誠商行,-,勞動部職業安全衛生署中區職業安全衛生中心,108/09/11,
86,吳OO(即豐盈工程行),營造業(整地、基礎及結構工程業),物體倒塌、崩塌,1,臺中市政府水利局,臺中市太平區中和街雨水下水道工程,「臺中市太平區中和街雨水下水道工程」作業區,-,臺中市勞動檢查處,108/09/11,
87,曾OO(即大立工程行),營造業(整地、基礎及結構工程業),墜落、滾落,1,丸文調理食品有限公司,丸文調理食品有限公司增建工程,丸文調理食品有限公司增建鋼構廠房3樓,-,臺中市勞動檢查處,108/09/11,
88,余OO(即偉承工程行),營造業(建築工程業),物體倒塌、崩塌,1,項OO,項OO自宅修繕工程,2樓,-,勞動部職業安全衛生署中區職業安全衛生中心,108/09/10,
89,遠雄營造股份有限公司,營造業(建築工程業),墜落、滾落,1,遠雄建設事業股份有限公司,遠雄H95住宅新建工程,新北市中和區中原街與中原三街路口,中和區中原街與中原三街路口,勞動部職業安全衛生署北區職業安全衛生中心,108/09/07,
90,崇揖企業股份有限公司,營造業(其他專門營造業),墜落、滾落,1,華邦電子股份有限公司,華邦電子高雄12吋廠房一期新建工程,EAB棟東北角之第16層施工架墜落,高雄市路竹區路科六路一與路科七路交叉口,南部科學園區管理局,108/09/07,
91,蔡OO(即OO畜牧場),農、林、漁、牧業(其他畜牧業),被刺、割、擦傷,1,,,畜牧場內飼料混合作業之工作場所,-,勞動部職業安全衛生署南區職業安全衛生中心,108/09/04,
92,張OO,營造業(整地、基礎及結構工程業),墜落、滾落,1,周OO,雞舍屋頂更新工程,雞舍屋頂,-,勞動部職業安全衛生署中區職業安全衛生中心,108/09/03,
93,陳00,農、林、漁、牧業(內陸養殖業),溺斃,1,,,臺南市安南區海南段魚塭,-,勞動部職業安全衛生署南區職業安全衛生中心,108/09/02,
94,中華工程股份有限公司,營造業(其他土木工程業),物體飛落,1,華南商業銀行股份有限公司,土城沛陂段廠辦新建工程,地下3樓進氣管道間,新北市土城區民權街1號,新北市政府勞動檢查處,108/09/02,
95,黃OO,營造業(冷凍、空調及管道工程業),墜落、滾落,1,王OO,臺中市北區三民路OO段OO巷OO之OO號民宅排水管安裝工程,臺中市北區三民路OO段OO號後門之鐵皮遮雨棚處,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/31,
96,陳OO,營造業(其他土木工程業),墜落、滾落,1,-,高雄市鼓山區鼓山三路OO號之民宅修繕工程,1樓樓梯,-,高雄市政府勞工局勞動檢查處,108/08/31,
97,真理營造有限公司,營造業(建築工程業),墜落、滾落,1,成華建設股份有限公司,成華建設店舖集合住宅新建工程,12樓陽台開口部分,新北市汐止區忠孝東路492-1號旁,勞動部職業安全衛生署北區職業安全衛生中心,108/08/30,
98,陳OO（即豐辰水電工程行）,營造業(機電、電信及電路設備安裝業),墜落、滾落,1,新北市林口區公所,,新北市林口區西林里活動中心,新北市林口區竹林路80之1號,新北市政府勞動檢查處,108/08/30,
99,鼎元光電科技股份有限公司竹南分公司,製造業(其他光電材料及元件製造業),與有害物等之接觸,1,,,鼎元光電科技股份有限公司竹南分公司2樓蝕刻區,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/28,
100,王O金,製造業(金屬建築組件製造業),感電,1,-,-,-,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/28,
101,紀OO(即紀OO漁塭),農、林、漁、牧業(內陸養殖業),溺斃,1,紀OO,,漁塭通道,-,勞動部職業安全衛生署南區職業安全衛生中心,108/08/28,
102,春木林營造有限公司,營造業(建築工程業),感電,1,寶橋建設有限公司,寶橋建設有限公司新建工程,寶橋建設有限公司新建工程1樓梯廳,新北市林口區文化三路一段249巷,勞動部職業安全衛生署北區職業安全衛生中心,108/08/27,
103,淩光機械股份有限公司,營造業(其他建築設備安裝業),墜落、滾落,1,誠品建築事業股份有限公司,誠品大安森林案停車設備安裝工程,工地,大安區和平東路一段248巷口,臺北市勞動檢查處,108/08/27,
104,凌光機械股份有限公司,營造業(其他建築設備安裝業),墜落、滾落,1,誠品建築事業股份有限公司,（10５建０８０）長虹天蔚集合住宅新建工程,從一樓鷹架踏板墜於地下5樓上,大安區和平東路1段248巷口,臺北市勞動檢查處,108/08/27,
105,毅富營造有限公司,營造業(建築工程業),墜落、滾落,1,東驊建設開發有限公司,桃園市桃園區中路段集合住宅新建工程,7樓外牆施工架,桃園市桃園區永安路491號旁,勞動部職業安全衛生署北區職業安全衛生中心,108/08/26,
106,泰和廣告有限公司,專業、科學及技術服務業(廣告業),墜落、滾落,1,薪曜國際開發股份有限公司,,全家便利商店 2 樓頂鋼架,-,桃園市政府勞動檢查處,108/08/26,
107,亞東營造股份有限公司,營造業(其他土木工程業),溺斃,1,臺北市政府工務局大地工程處,108年度臺北市山坡地溪溝更新預約式工程案(北區),南港區四分溪溪溝內,臺北市南港區研究院路4段附近,臺北市勞動檢查處,108/08/24,
108,承德油脂股份有限公司彰濱廠,製造業(未分類其他化學製品製造業),感電,1,無,無,承德油脂股份有限公司彰濱廠,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/23,
109,健安水電工程有限公司,營造業(其他專門營造業),物體飛落,1,苗栗縣泰安鄉公所,苗栗縣泰安鄉錦水、清安等村簡易自來水災害復建工程,苗栗縣泰安鄉公所後巷,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/23,
110,在興營造有限公司,營造業(其他專門營造業),感電,1,林OO、林OO,林OO、林OO工廠新建工程,臺南市永康區中正南路490巷,永康區中正南路490巷,勞動部職業安全衛生署南區職業安全衛生中心,108/08/23,
111,山發營造股份有限公司,營造業(其他專門營造業),墜落、滾落,1,富立騏建設有限公司,富立騏大傳1席悅新建工程,建築物左側頂樓層外牆第14層(由下往上算)施工架工作臺,桃園市中壢區永春路21號旁之工地,桃園市政府勞動檢查處,108/08/22,
112,OO航業股份有限公司所僱印尼籍勞工發生被捲災害致死,運輸及倉儲業(海洋水運業),被夾、被捲,1,,,輸送帶(轉軸),-,勞動部職業安全衛生署南區職業安全衛生中心,108/08/21,
113,紘珅室內裝潢有限公司,營造業(建物完工裝修工程業),墜落、滾落,1,吳OO,吳OO民宅翻修工程,吳OO民宅,-,桃園市政府勞動檢查處,108/08/21,
114,黃OO,營造業(建物完工裝修工程業),墜落、滾落,1,許OO,,新北市蘆洲區成功路72巷8號3樓,-,新北市政府勞動檢查處,108/08/20,
115,林OO,農、林、漁、牧業(其他農作物栽培業),被撞,1,無,無,南投縣鹿谷鄉白牙山產業道路,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/19,
116,潤弘精密工程事業股份有限公司楊梅二廠,製造業(水泥及混凝土製品製造業),物體倒塌、崩塌,1,,,潤弘楊梅二廠預鑄構件儲放場所,桃園市楊梅區甡甡路625號,桃園市政府勞動檢查處,108/08/19,
117,象鴻企業股份有限公司,製造業(其他金屬加工處理業),物體倒塌、崩塌,1,,,象鴻企業股份有限公司位於高雄市橋頭區仕豐路溝尾巷30號廠區內艙體鋼板組立區,高雄市橋頭區仕豐路溝尾巷30號,高雄市政府勞工局勞動檢查處,108/08/19,
118,鑫盈興營造有限公司,營造業(其他土木工程業),墜落、滾落,1,交通部觀光局花東縱谷國家風景區管理處,羅山遊憩區周邊公共服務設施改善工程,羅山遊憩區內步道里程編號0K+140邊坡,"278228.689,2566613.164",勞動部職業安全衛生署北區職業安全衛生中心,108/08/16,交通部
119,台灣自來水股份有限公司第十二區管理處,用水供應及污染整治業(用水供應業),墜落、滾落,1,,,頂樓加蓋處,-,新北市政府勞動檢查處,108/08/15,
120,關惟實(即惟康企業社),營造業(建物完工裝修工程業),墜落、滾落,1,臻愛實業股份有限公司,臻愛花園飯店-烏日高鐵站(天花板工程(含噴漆)),2樓第4宴會廳,臺中市烏日區高鐵路三段與高鐵五路口,勞動部職業安全衛生署中區職業安全衛生中心,108/08/14,
121,胡OO（即新順發號）,農、林、漁、牧業(漁撈業),溺斃,1,,,基隆市八斗子漁港港邊,中正區環港街3號旁,勞動部職業安全衛生署北區職業安全衛生中心,108/08/13,
122,-,營造業(建物完工裝修工程業),墜落、滾落,1,-,農用倉庫屋頂翻修工程,南投縣中寮鄉,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/13,
123,李OO,運輸及倉儲業(汽車貨運業),物體倒塌、崩塌,1,德大機械股份有限公司,承攬德大機械股份有限公司刀庫貨品運送之承攬人李OO發生物體倒塌致死,永儲股份有限公司,桃園市大園區國際路3段932號,桃園市政府勞動檢查處,108/08/13,
124,台灣電力股份有限公司花東供電區營運處,電力及燃氣供應業(電力供應業),物體飛落,1,,台灣電力股份有限公司花東供電區營運處345kV大觀、明潭～鳳林線＃166鐵塔K-TRUSS補強工程,萬榮林道11.63K鳳林縣#166鐵塔,-,勞動部職業安全衛生署北區職業安全衛生中心,108/08/12,經濟部
125,-,營造業(建物完工裝修工程業),墜落、滾落,1,詠明工業有限公司,-,廠房屋頂,-,臺中市勞動檢查處,108/08/12,
126,協興土木包工業,(),公路交通事故,1,屏東縣滿州鄉公所,滿洲鄉港口村橋頭路144巷道路改善工程,本工程之工區A，A0k+072.4 旁深度1.5米之溪溝,-,勞動部職業安全衛生署南區職業安全衛生中心,108/08/10,
127,陳OO(即唯成企業社),營造業(整地、基礎及結構工程業),墜落、滾落,1,光國股份有限公司五廠,屋頂浪板安裝工程,光國股份有限公司五廠之滑水板廠房屋頂邊緣,-,臺中市勞動檢查處,108/08/08,
128,閩豐勝營造有限公司,營造業(建築工程業),墜落、滾落,1,國立金門大學,108年度國立金門大學零星修繕工作（開口契約）,本工程男一舍南向外牆施工架處,金門縣金寧鄉大學路1號,勞動部職業安全衛生署南區職業安全衛生中心,108/08/07,
129,吉川企業社,營造業(建物完工裝修工程業),墜落、滾落,1,-,屋頂維修,高雄市鳥松區本館路文明巷一弄21號住宅五樓屋頂墜落二樓陽台,-,高雄市政府勞工局勞動檢查處,108/08/07,
130,順富工程行,支援服務業(人力仲介業),物體飛落,1,-,漁船維修,高雄市前鎮漁港之安豐參捌號漁船,高雄市前鎮區漁港北一路13號,高雄市政府勞工局勞動檢查處,108/08/06,
131,福峰國際製酒股份有限公司,製造業(其他酒精飲料製造業),爆炸,1,,,福峰國際製酒股份有限公司,-,勞動部職業安全衛生署中區職業安全衛生中心,108/08/05,
132,華揚消防工程顧問股份有限公司,營造業(其他建築設備安裝業),墜落、滾落,1,香港商宇曦健康顧問有限公司台灣分公司,基隆路1段200號地下2樓裝修工程,基隆路1段200號地下2樓,臺北市信義區基隆路1段200號,臺北市勞動檢查處,108/08/05,
